0000100001[]
0000100002[]
0000100003[]
0000100004[317 95 22 43 0 0 0; ]
0000100005[317 96 22 43 0 0 0; ]
0000100006[318 98 22 43 0 0 0; ]
0000100007[318 99 22 43 0 0 0; ]
0000100008[319 100 22 43 0 0 0; ]
0000100009[319 100 22 42 0 0 0; ]
0000100010[320 101 22 42 0 0 0; ]
0000100205[418 85 38 75 1 0 0; 179 102 18 31 2 0 0; ]
0000100206[420 85 40 76 1 0 0; 179 102 19 30 2 0 0; ]
0000100207[421 84 40 79 1 0 0; ]
0000100208[423 84 41 81 1 0 0; ]
0000100209[425 84 41 82 1 0 0; ]
0000100210[427 85 42 82 1 0 0; 176 104 19 30 2 0 0; ]
0000100211[428 86 43 81 1 0 0; 176 105 19 30 2 0 0; ]
0000100212[430 88 44 81 1 0 0; 175 106 19 31 2 0 0; ]
0000100213[432 89 44 81 1 0 0; 175 107 19 31 2 0 0; ]
0000100214[434 89 44 82 1 0 0; 174 108 19 32 2 0 0; ]
0000100215[436 88 44 83 1 0 0; 174 108 19 32 2 0 0; ]
0000100216[437 87 44 85 1 0 0; 173 109 20 33 2 0 0; ]
0000100217[439 86 44 87 1 0 0; 172 108 20 33 2 0 0; ]
0000100218[441 85 44 89 1 0 0; 172 107 20 34 2 0 0; ]
0000100219[443 84 44 91 1 0 0; 171 106 20 35 2 0 0; ]
0000100220[444 83 45 93 1 0 0; 170 106 20 36 2 0 0; ]
0000100221[446 82 45 96 1 0 0; 169 106 21 36 2 0 0; ]
0000100222[448 81 46 97 1 0 0; 169 105 21 37 2 0 0; ]
0000100223[451 81 47 98 1 0 0; 168 105 21 37 2 0 0; ]
0000100224[454 80 48 99 1 0 0; 167 105 21 38 2 0 0; ]
0000100225[456 80 49 100 1 0 0; 166 105 21 38 2 0 0; ]
0000100226[459 80 50 101 1 0 0; 166 106 21 39 2 0 0; ]
0000100227[165 106 21 39 2 0 0; ]
0000100228[164 107 21 40 2 0 0; ]
0000100229[164 107 21 40 2 0 0; ]
0000100230[163 108 21 41 2 0 0; ]
0000100231[162 109 21 41 2 0 0; ]
0000100232[162 108 21 40 2 0 0; ]
0000100233[162 107 21 38 2 0 0; ]
0000100234[161 106 21 37 2 0 0; ]
0000100235[161 105 21 36 2 0 0; ]
0000100236[160 105 21 36 2 0 0; ]
0000100237[159 104 21 35 2 0 0; ]
0000100238[159 104 21 35 2 0 0; ]
0000100239[158 104 21 35 2 0 0; ]
0000100240[157 104 21 35 2 0 0; ]
0000100241[156 104 21 36 2 0 0; ]
0000100242[154 105 21 36 2 0 0; ]
0000100243[153 105 22 36 2 0 0; ]
0000100244[151 106 22 37 2 0 0; ]
0000100245[150 106 23 38 2 0 0; ]
0000100246[148 107 24 39 2 0 0; ]
0000100247[147 110 24 39 2 0 0; ]
0000100248[146 112 24 39 2 0 0; ]
0000100249[145 114 24 39 2 0 0; ]
0000100250[144 115 24 39 2 0 0; ]
0000100251[143 116 24 39 2 0 0; ]
0000100252[142 116 24 39 2 0 0; ]
0000100253[140 116 24 39 2 0 0; ]
0000100254[139 115 24 39 2 0 0; ]
0000100255[137 112 24 40 2 0 0; ]
0000100256[135 110 24 41 2 0 0; ]
0000100257[134 108 24 41 2 0 0; ]
0000100258[132 108 25 41 2 0 0; ]
0000100259[130 108 25 41 2 0 0; ]
0000100260[127 108 25 41 2 0 0; ]
0000100261[125 108 25 41 2 0 0; ]
0000100262[124 105 25 42 2 0 0; ]
0000100263[123 102 25 42 2 0 0; ]
0000100264[121 98 25 43 2 0 0; ]
0000100265[118 94 26 45 2 0 0; ]
0000100266[115 89 27 47 2 0 0; ]
0000100267[112 87 28 48 2 0 0; ]
0000100268[109 88 29 48 2 0 0; ]
0000100269[106 93 29 48 2 0 0; ]
0000100270[103 98 29 48 2 0 0; ]
0000100271[100 103 29 49 2 0 0; ]
0000100272[97 107 29 49 2 0 0; ]
0000100273[94 110 29 48 2 0 0; ]
0000100274[92 111 29 48 2 0 0; ]
0000100275[89 108 29 49 2 0 0; ]
0000100276[87 101 29 53 2 0 0; ]
0000100277[83 93 30 53 2 0 0; ]
0000100278[80 85 31 53 2 0 0; ]
0000100279[76 80 32 54 2 0 0; ]
0000100280[72 78 32 55 2 0 0; ]
0000100281[68 78 33 57 2 0 0; ]
0000100282[63 78 33 60 2 0 0; ]
0000100283[59 78 34 63 2 0 0; 310 89 20 37 3 0 0; 205 92 19 30 4 0 0; ]
0000100284[54 78 34 64 2 0 0; 310 94 20 37 3 0 0; 203 96 19 31 4 0 0; ]
0000100285[49 79 35 64 2 0 0; 310 99 20 37 3 0 0; 202 99 19 31 4 0 0; ]
0000100286[44 83 36 63 2 0 0; 309 103 21 36 3 0 0; 200 102 19 31 4 0 0; ]
0000100287[38 87 37 63 2 0 0; 309 106 21 36 3 0 0; 199 104 19 32 4 0 0; 221 110 18 30 5 0 0; ]
0000100288[32 89 37 63 2 0 0; 308 108 21 36 3 0 0; 197 106 19 32 4 0 0; 220 112 18 30 5 0 0; ]
0000100289[26 89 39 64 2 0 0; 308 110 22 36 3 0 0; 196 107 19 33 4 0 0; 219 113 18 31 5 0 0; ]
0000100290[20 89 40 68 2 0 0; 307 110 22 36 3 0 0; 194 108 19 33 4 0 0; 218 114 18 31 5 0 0; ]
0000100291[14 88 41 73 2 0 0; 307 110 22 36 3 0 0; 192 108 19 33 4 0 0; 217 114 18 31 5 0 0; ]
0000100292[7 88 41 73 2 0 0; 306 110 22 36 3 0 0; 190 108 19 34 4 0 0; 216 113 18 31 5 0 0; ]
0000100293[1 86 41 73 2 0 0; 306 110 22 37 3 0 0; 188 107 19 34 4 0 0; 214 113 18 31 5 0 0; ]
0000100294[305 109 22 37 3 0 0; 185 107 20 34 4 0 0; 213 112 19 31 5 0 0; ]
0000100295[305 108 22 37 3 0 0; 183 105 20 34 4 0 0; 211 111 19 31 5 0 0; ]
0000100296[304 106 22 38 3 0 0; 181 103 19 35 4 0 0; 210 109 19 31 5 0 0; ]
0000100297[303 103 22 38 3 0 0; 180 101 19 35 4 0 0; 208 107 20 31 5 0 0; ]
0000100298[303 100 22 38 3 0 0; 178 98 19 35 4 0 0; 207 104 21 31 5 0 0; ]
0000100299[302 100 21 38 3 0 0; 175 98 19 36 4 0 0; 205 105 20 31 5 0 0; ]
0000100300[301 100 21 39 3 0 0; 173 98 19 36 4 0 0; 204 105 20 32 5 0 0; ]
0000100301[301 100 20 39 3 0 0; 170 98 19 36 4 0 0; 202 105 20 32 5 0 0; ]
0000100302[300 100 20 39 3 0 0; 168 98 19 36 4 0 0; 201 105 20 32 5 0 0; ]
0000100303[300 100 20 39 3 0 0; 165 98 19 36 4 0 0; 200 105 20 32 5 0 0; ]
0000100304[299 100 20 39 3 0 0; 163 98 19 36 4 0 0; 198 105 20 32 5 0 0; ]
0000100305[299 100 20 39 3 0 0; 160 98 19 36 4 0 0; 197 105 20 32 5 0 0; ]
0000100306[298 100 20 39 3 0 0; 158 98 19 36 4 0 0; 195 105 20 32 5 0 0; ]
0000100307[298 99 20 39 3 0 0; 155 97 19 36 4 0 0; 194 105 20 32 5 0 0; ]
0000100308[297 98 20 39 3 0 0; 153 97 19 35 4 0 0; 192 104 20 32 5 0 0; ]
0000100309[297 98 20 39 3 0 0; 150 96 19 35 4 0 0; 191 104 20 32 5 0 0; ]
0000100310[296 97 20 39 3 0 0; 148 95 20 36 4 0 0; 190 103 21 33 5 0 0; ]
0000100311[296 97 21 40 3 0 0; 145 94 20 37 4 0 0; 188 102 21 33 5 0 0; ]
0000100312[295 96 22 40 3 0 0; 143 93 20 38 4 0 0; 187 101 21 33 5 0 0; ]
0000100313[295 96 23 41 3 0 0; 140 92 21 40 4 0 0; 185 100 21 33 5 0 0; ]
0000100314[295 97 23 42 3 0 0; 138 93 21 40 4 0 0; 184 101 21 34 5 0 0; ]
0000100315[295 98 23 42 3 0 0; 135 94 21 40 4 0 0; 183 102 21 35 5 0 0; ]
0000100316[295 99 23 42 3 0 0; 133 95 21 40 4 0 0; 182 103 21 36 5 0 0; ]
0000100317[295 99 23 42 3 0 0; 131 96 22 40 4 0 0; 181 103 21 36 5 0 0; ]
0000100318[295 100 23 42 3 0 0; 128 97 22 40 4 0 0; 179 104 21 37 5 0 0; ]
0000100319[295 100 23 42 3 0 0; 126 97 22 40 4 0 0; 178 104 21 37 5 0 0; ]
0000100320[295 100 24 42 3 0 0; 124 97 23 40 4 0 0; 177 104 21 37 5 0 0; ]
0000100321[295 100 24 43 3 0 0; 122 97 23 41 4 0 0; 176 104 21 37 5 0 0; ]
0000100322[295 100 24 43 3 0 0; 120 97 23 41 4 0 0; 176 104 21 37 5 0 0; ]
0000100323[296 100 24 43 3 0 0; 118 97 23 41 4 0 0; 175 104 21 36 5 0 0; ]
0000100324[296 100 24 44 3 0 0; 116 97 24 42 4 0 0; 174 104 22 36 5 0 0; ]
0000100325[297 100 24 44 3 0 0; 114 97 24 42 4 0 0; 173 103 22 36 5 0 0; ]
0000100326[298 99 24 44 3 0 0; 112 96 24 43 4 0 0; 171 103 23 37 5 0 0; ]
0000100327[299 99 24 45 3 0 0; 110 96 24 44 4 0 0; 170 102 25 38 5 0 0; ]
0000100328[300 98 24 45 3 0 0; 108 95 24 45 4 0 0; 168 101 26 39 5 0 0; ]
0000100329[301 99 25 46 3 0 0; 106 95 25 45 4 0 0; 167 101 26 40 5 0 0; ]
0000100330[301 99 25 47 3 0 0; 104 95 25 46 4 0 0; 166 101 27 40 5 0 0; ]
0000100331[302 99 25 48 3 0 0; 102 95 25 46 4 0 0; 166 102 27 41 5 0 0; ]
0000100332[303 99 25 49 3 0 0; 100 94 25 47 4 0 0; 165 102 27 42 5 0 0; ]
0000100333[304 100 25 50 3 0 0; 98 94 25 48 4 0 0; 164 102 27 42 5 0 0; ]
0000100334[305 100 26 50 3 0 0; 96 94 25 49 4 0 0; 163 102 27 43 5 0 0; ]
0000100335[306 100 26 50 3 0 0; 93 94 25 50 4 0 0; 162 102 28 43 5 0 0; ]
0000100336[306 100 26 50 3 0 0; 91 94 26 50 4 0 0; 161 102 28 44 5 0 0; ]
0000100337[307 101 26 50 3 0 0; 88 94 26 51 4 0 0; 160 102 28 44 5 0 0; ]
0000100338[308 101 26 50 3 0 0; 86 94 26 53 4 0 0; 159 103 28 45 5 0 0; ]
0000100339[309 101 27 50 3 0 0; 83 94 27 54 4 0 0; 158 103 28 45 5 0 0; ]
0000100340[310 101 27 50 3 0 0; 81 93 27 55 4 0 0; 157 103 29 46 5 0 0; ]
0000100341[310 102 27 50 3 0 0; 78 93 27 56 4 0 0; 157 103 29 46 5 0 0; ]
0000100342[311 102 27 49 3 0 0; 75 93 28 57 4 0 0; 156 103 29 47 5 0 0; ]
0000100343[312 102 27 49 3 0 0; 72 93 28 59 4 0 0; 155 103 29 48 5 0 0; ]
0000100344[313 102 28 50 3 0 0; 69 92 30 60 4 0 0; 153 102 30 49 5 0 0; ]
0000100345[314 101 28 51 3 0 0; 65 92 31 61 4 0 0; 151 101 30 50 5 0 0; ]
0000100346[315 100 28 52 3 0 0; 61 91 32 62 4 0 0; 149 100 31 51 5 0 0; ]
0000100347[316 100 28 52 3 0 0; 57 90 33 63 4 0 0; 147 99 31 52 5 0 0; ]
0000100348[317 99 28 53 3 0 0; 53 90 34 64 4 0 0; 144 98 32 53 5 0 0; ]
0000100349[318 98 28 54 3 0 0; 49 89 35 66 4 0 0; 142 98 33 54 5 0 0; ]
0000100350[319 98 28 54 3 0 0; 44 88 35 67 4 0 0; 139 97 33 54 5 0 0; ]
0000100351[320 97 28 55 3 0 0; 40 87 35 69 4 0 0; 136 96 34 55 5 0 0; ]
0000100352[321 96 28 55 3 0 0; 35 86 36 70 4 0 0; 133 95 35 56 5 0 0; ]
0000100353[322 95 28 55 3 0 0; 30 85 36 72 4 0 0; 130 94 36 57 5 0 0; ]
0000100354[323 94 28 55 3 0 0; 25 84 36 75 4 0 0; 127 93 37 58 5 0 0; ]
0000100355[324 94 28 56 3 0 0; 19 83 37 77 4 0 0; 123 92 38 59 5 0 0; ]
0000100356[325 94 28 56 3 0 0; 14 81 37 79 4 0 0; 120 91 39 64 5 0 0; ]
0000100357[326 95 28 57 3 0 0; 8 80 37 82 4 0 0; 116 89 40 67 5 0 0; ]
0000100358[327 97 28 58 3 0 0; 2 79 37 84 4 0 0; 112 89 42 70 5 0 0; ]
0000100359[328 98 28 56 3 0 0; 107 89 44 71 5 0 0; ]
0000100360[329 98 28 56 3 0 0; 101 89 46 72 5 0 0; ]
0000100361[330 98 28 55 3 0 0; 95 89 48 74 5 0 0; ]
0000100362[331 98 28 55 3 0 0; 89 88 50 75 5 0 0; ]
0000100363[332 97 28 57 3 0 0; 82 86 52 78 5 0 0; ]
0000100364[333 94 28 59 3 0 0; 74 83 54 80 5 0 0; ]
0000100365[335 91 28 62 3 0 0; 66 79 55 83 5 0 0; ]
0000100366[336 90 29 63 3 0 0; 58 77 58 91 19 0 2; ]
0000100367[337 90 29 63 3 0 0; 47 76 61 94 19 0 2; ]
0000100368[338 90 29 63 3 0 0; 35 74 64 97 19 0 2; ]
0000100369[339 90 30 63 3 0 0; 21 72 68 102 19 0 2; ]
0000100370[340 89 30 63 3 0 0; 7 69 72 107 19 0 2; ]
0000100371[342 89 30 63 3 0 0; ]
0000100372[343 89 31 63 3 0 0; ]
0000100373[344 89 31 63 3 0 0; ]
0000100374[345 89 31 64 3 0 0; ]
0000100375[346 89 31 64 3 0 0; ]
0000100376[347 89 32 65 3 0 0; ]
0000100377[348 89 32 66 3 0 0; ]
0000100378[349 89 32 66 3 0 0; ]
0000100379[350 88 32 67 3 0 0; ]
0000100380[351 88 32 67 3 0 0; ]
0000100381[352 88 32 68 3 0 0; ]
0000100382[353 88 32 68 3 0 0; ]
0000100383[354 88 32 69 3 0 0; ]
0000100384[355 87 33 69 3 0 0; ]
0000100385[356 87 33 70 3 0 0; ]
0000100386[357 87 33 70 3 0 0; ]
0000100387[358 87 33 71 3 0 0; ]
0000100388[359 87 33 71 3 0 0; ]
0000100389[360 87 34 72 3 0 0; ]
0000100390[361 87 35 73 3 0 0; ]
0000100391[362 88 35 74 3 0 0; ]
0000100392[363 88 36 75 3 0 0; ]
0000100393[364 88 37 76 3 0 0; ]
0000100394[365 88 37 77 3 0 0; ]
0000100395[366 88 38 78 3 0 0; ]
0000100396[367 88 39 79 3 0 0; ]
0000100397[368 88 39 81 3 0 0; ]
0000100398[370 87 40 82 3 0 0; ]
0000100399[371 87 40 83 3 0 0; ]
0000100400[373 86 41 85 3 0 0; ]
0000100401[375 86 42 86 3 0 0; ]
0000100402[377 85 42 88 3 0 0; ]
0000100403[378 84 43 89 3 0 0; ]
0000100404[380 85 43 90 3 0 0; ]
0000100405[382 86 44 91 3 0 0; ]
0000100406[384 86 44 92 3 0 0; ]
0000100407[386 87 45 93 3 0 0; ]
0000100408[388 87 45 94 3 0 0; ]
0000100409[390 87 46 95 3 0 0; ]
0000100410[393 87 47 97 3 0 0; ]
